id,name,description,price,created_at,updated_at,quantity,image,type,images
28,Uriage Hyseac SPF50+ Moisturising Sunscreen Fluid 50ml,"Uriage Hyseac SPF 50+ - سائل واقي شمس مرطب

يوفّر حماية عالية جدًا ضد أشعة UVA و UVB بفضل مركب تصفية فعال وخالٍ من الأوكتوكريلين.
مصمم خصيصًا للبشرة المختلطة إلى الدهنية، بتركيبة غير لزجة ولا دهنية.
يمنح ترطيبًا عميقًا بفضل عناصر نشطة تمنع الجفاف.
يتميز بتأثير مطفئ للمعان يدوم طويلًا بفضل مستخلص العرقسوس، الذي يقلل من إفراز الدهون ويمنع ظهور الشوائب الجديدة.
الاستخدام المنتظم لـ Uriage Hyseac SPF 50+ يساعد على الوقاية من حروق الشمس، سرطان الجلد، والشيخوخة المبكرة.",3500.00,2025-02-16 19:25:16,2025-02-22 18:50:53,1,,Fluide,"[""images\/1739733916_IMG_20250208_214200.jpg"",""images\/1739733916_OIP.jpg""]"
27,Eau Thermale Avène 50+SPF,"حماية شمسية عالية جدًا للبشرة الجافة والحساسة على الوجه.
حماية واسعة النطاق ضد أشعة UVB و UVA.
مستقر ضوئيًا.
ملمس مريح.",4000.00,2025-02-16 19:20:11,2025-02-22 18:49:07,1,,Cream,"[""images\/1739733611_IMG_20250208_214049.jpg"",""images\/1739733611_R.jpg""]"
17,La Roche Posay Anthelios UVMUNE 400 Fluido Invisible SPF50+ 50 ml,"La Roche-Posay Anthelios UVMUNE 400 - سائل واقي شمس غير مرئي
 حماية فائقة واسعة النطاق ضد أشعة UVA، UVB، الأشعة تحت الحمراء (IR-A)، والتلوث بفضل تقنية XL-Protect.
 ملمس خفيف وشفاف يناسب جميع أنواع البشرة، بتركيبة سريعة الامتصاص.
 مقاومة عالية جدًا للماء، مما يجعله مثاليًا للاستخدام اليومي أو أثناء الأنشطة الخارجية.
 يحتوي على مياه لاروش بوزيه الحرارية بخصائصها المهدئة والمضادة للأكسدة.
 لا يسبب تهيجًا للعينين، مما يجعله مناسبًا حتى للبشرة الحساسة.",4200.00,2025-02-13 21:39:12,2025-02-22 18:55:32,1,,Cream,"[""images\/1739482752_IMG_20250208_213850.jpg"",""images\/1739482752_screenshot_2023-11-28_at_10.59.46_am.png""]"
16,Protector Solar Isispharma Spf 50 Light Tinted Fluid 40ml,"Isispharma SPF 50 - سائل واقي شمس خفيف ملون 40 مل

يوفّر حماية عالية جدًا ضد أشعة UVA و UVB، مما يساعد على حماية البشرة من حروق الشمس والشيخوخة المبكرة.
يتميز بتركيبة ملونة خفيفة تمنح البشرة مظهرًا طبيعيًا موحدًا.
ملمس خفيف وغير دهني، مثالي للاستخدام اليومي دون ترك آثار لزجة.
يوفر ترطيبًا وحماية مستدامة للحفاظ على صحة البشرة.",4000.00,2025-02-13 21:30:30,2025-02-22 18:53:19,1,,Cream,"[""images\/1739482230_IMG_20250208_213835.jpg"",""images\/1739482230_Protector-Solar-Isispharma-Spf-50-Light-Tinted-Fluid-40ml-3-57696.webp""]"
21,LA ROCHE-POSAY ANTHELIOS SPF50+ FLUIDE TEINTE 50 ML,"La Roche-Posay Anthelios UVMUNE 400 - سائل واقي شمس ملون

حماية شمسية فائقة جدًا مناسبة لجميع أنواع البشرة الحساسة.
يوفر تغطية موحدة بفضل تركيبته الملونة، مما يمنح البشرة مظهرًا طبيعيًا ومتجانسًا.
يحتوي على تقنية UVMUNE 400 التي توفر حماية متقدمة ضد أشعة UVA و UVB.
ملمس خفيف وسريع الامتصاص، لا يترك آثارًا دهنية.
متوفر بسعر مناسب عبر الصيدليات الإلكترونية.",3990.00,2025-02-14 13:53:17,2025-02-22 18:57:58,1,,Cream,"[""images\/1739541196_IMG_20250208_213912.jpg"",""images\/1739541197_roche-posay-fluide.jpg""]"
22,ROCHE-POSAY Anthelios Oil Control Fluid UVMune 400 50 ml,"حماية SPF 50+ PA++++ مع Mexoryl 400 ضد UVA/UVB.
يحمي من الأشعة الطويلة جدًا، التلوث، والغبار.
يمتص الدهون بفضل Airlicium لمظهر غير لامع.
تركيبة خفيفة، سهلة الامتصاص دون آثار بيضاء.",3590.00,2025-02-14 13:59:51,2025-02-22 18:58:54,1,,Cream,"[""images\/1739541591_18257573.webp"",""images\/1739541591_IMG_20250208_214013.jpg""]"
23,ANTHELIOS 50+ UVMUNE 400 Oil Control Non-perfumed gel-cream,"واقي شمس بتركيبة جل مطفئة للمعان SPF 50+

حماية عالية جدًا للوجه.
خفيف الوزن بتركيبة جل مرطبة.
مناسب للبشرة الدهنية والمختلطة.
يمنح مظهرًا غير لامع دون لمعان زائد.",4200.00,2025-02-16 18:52:25,2025-02-22 18:59:38,1,,Cream,"[""images\/1739731945_IMG_20250208_214025.jpg"",""images\/1739731945_OIP.jpg""]"
25,Capital Soleil SPF 50+ crème matifiante 3-en-1 Vichy - tube de 50 ml,"Vichy Capital Soleil SPF 50+ كريم مطفئ للمعان 3 في 1

يوفر حماية عالية جدًا من أشعة الشمس.
يمتص الزيوت الزائدة ويتحكم في إفراز الدهون.
يمنح البشرة مظهرًا غير لامع.
مناسب للبشرة الدهنية والمختلطة.",3700.00,2025-02-16 19:15:15,2025-02-22 19:04:00,1,,Cream,"[""images\/1739733315_IMG_20250208_214041.jpg"",""images\/1739733315_OIP.jpg""]"
26,Vichy Ideal Soleil Tinted Dry Touch Face Fluid SPF 50+,"Vichy Ideal Soleil Tinted Dry Touch Face Fluid SPF 50

واقي شمس ملون للبشرة المختلطة إلى الدهنية والحساسة.
يوفر حماية عالية جدًا SPF 50.
يمنح البشرة لمسة جافة غير لامعة.
يوزع بكمية كافية على الوجه والرقبة مع إعادة التطبيق بانتظام.",3600.00,2025-02-16 19:16:37,2025-02-22 19:04:41,1,,Cream,"[""images\/1739733397_IMG_20250208_214153.jpg"",""images\/1739733397_vichy-ideal-soleil-tinted-dry-touch-face-fluid-spf50-50ml-osullivans-pharmacy-skincare-3337871325787-821750_540x.webp""]"
24,Anthelios UVMune 400 Hydrating Cream SPF50+ Sun Cream 50ML,"Anthelios UVMUNE 400 Hydrating Cream SPF 50+

حماية فائقة ضد UVB وUVA والأشعة فوق البنفسجية الطويلة جدًا بفضل Mexoryl 400.
تركيبة مرطبة مناسبة للبشرة الجافة إلى شديدة الجفاف.
مقاوم للماء والعرق والرمال.
لا يسبب تهيجًا للعينين.
بدون عطر، ملمس مريح وغير دهني.
مصمم خصيصًا للبشرة الحساسة.",3900.00,2025-02-16 19:10:22,2025-02-22 19:05:19,1,,Cream,"[""images\/1739733022_IMG_20250208_214033.jpg"",""images\/1739733022_La-Roche-Posay-Sunscreen-Anthelios-HydratingCream-spf50-box-000-3337875588560-Boxed copy.jpg""]"
